
episode: 256/600, returns: -15.515459568340543, epsilon: 0.19
episode: 257/600, returns: -15.666338981804495, epsilon: 0.19
episode: 258/600, returns: -11.371682314891098, epsilon: 0.19
episode: 259/600, returns: -9.44519295965714, epsilon: 0.19
episode: 260/600, returns: -12.286607526338706, epsilon: 0.19
episode: 261/600, returns: -14.271817687953, epsilon: 0.19
episode: 262/600, returns: -11.971651471809299, epsilon: 0.19
episode: 263/600, returns: -5.222503693642125, epsilon: 0.19
episode: 264/600, returns: -12.17120877596351, epsilon: 0.19
episode: 265/600, returns: -14.084648231795983, epsilon: 0.19
episode: 266/600, returns: -9.93929470595365, epsilon: 0.19
episode: 267/600, returns: -12.429845462510912, epsilon: 0.18
episode: 268/600, returns: -14.313291978788437, epsilon: 0.18
episode: 269/600, returns: -13.318694830864933, epsilon: 0.18
episode: 270/600, returns: -17.503710594837628, epsilon: 0.18
episode: 271/600, returns: -14.22669468900159, epsilon: 0.18
episode: 272/600, returns: -5.08688343415007, epsilon: 0.18
episode: 273/600, returns: -13.10257697608133, epsilon: 0.18
episode: 274/600, returns: -8.573635876301989, epsilon: 0.18
episode: 275/600, returns: -11.160586986086946, epsilon: 0.18
episode: 276/600, returns: -16.549058508900817, epsilon: 0.18
episode: 277/600, returns: -8.268749553513635, epsilon: 0.18
episode: 278/600, returns: -10.315993549514031, epsilon: 0.17
episode: 279/600, returns: -15.430427584500183, epsilon: 0.17
episode: 280/600, returns: -15.202028524407012, epsilon: 0.17
episode: 281/600, returns: 1.9902261352146184, epsilon: 0.17
episode: 282/600, returns: -14.834988695051697, epsilon: 0.17
episode: 283/600, returns: -15.003952473723418, epsilon: 0.17
episode: 284/600, returns: -15.281360578992077, epsilon: 0.17
episode: 285/600, returns: -7.840373817874047, epsilon: 0.17
episode: 286/600, returns: -6.228696659313004, epsilon: 0.17
episode: 287/600, returns: -12.930518579375496, epsilon: 0.17
episode: 288/600, returns: -13.887687694663883, epsilon: 0.17
episode: 289/600, returns: -16.277027043156046, epsilon: 0.17
episode: 290/600, returns: -14.04773577961363, epsilon: 0.16
episode: 291/600, returns: -13.609142404332362, epsilon: 0.16
episode: 292/600, returns: -7.887319910872657, epsilon: 0.16
episode: 293/600, returns: 3.45498079097631, epsilon: 0.16
episode: 294/600, returns: -2.7022517555366905, epsilon: 0.16
episode: 295/600, returns: -4.353402842617288, epsilon: 0.16
episode: 296/600, returns: -6.63554000631326, epsilon: 0.16
episode: 297/600, returns: -16.020705641914105, epsilon: 0.16
episode: 298/600, returns: -4.213717146070314, epsilon: 0.16
episode: 299/600, returns: -0.8818543833809258, epsilon: 0.16
episode: 300/600, returns: -7.215238993310402, epsilon: 0.16
episode: 301/600, returns: -3.6019915127003173, epsilon: 0.16
episode: 302/600, returns: -16.322486834521033, epsilon: 0.15
episode: 303/600, returns: -5.404373283555469, epsilon: 0.15
episode: 304/600, returns: -15.627496504495845, epsilon: 0.15
episode: 305/600, returns: -15.144323763280465, epsilon: 0.15
episode: 306/600, returns: -4.616031969243694, epsilon: 0.15
episode: 307/600, returns: -3.404136392076589, epsilon: 0.15
episode: 308/600, returns: -13.509833793309713, epsilon: 0.15
episode: 309/600, returns: -13.250050128180566, epsilon: 0.15
episode: 310/600, returns: -12.656744575201719, epsilon: 0.15
